phi_WT,phi_PV,phi_load,phi_curt_WT,phi_curt_PV
-0.02,-0.02,0.02,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
-0.02,-0.02,0.02,0.00,0.00
0.07,0.07,-0.07,0.00,0.00
0.07,0.07,-0.07,0.00,0.00
0.07,0.07,-0.07,0.00,0.00
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.07,0.07,-0.07,0.00,0.00
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.08,0.08,-0.08,0.00,-0.01
0.07,0.07,-0.07,0.00,0.00
0.07,0.07,-0.07,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
-1.00,-1.00,1.00,0.00,0.00
